title,start_year,end_year,language,run_time,rating,summary,status
On the Verge,2021,2021,English,32.0,5.4,"On the Verge centers around four L.A. moms, facing challenges with their marriages, careers, family, who are all fighting to be authentic to themselves, to take risks, and to leave whatever it is that is no longer working for them. These characters choose to make this point in their life an opportunity for reinvention, an opportunity to finally create a life of true meaning for themselves.",Ended
The Final Table,2018,2018,English,53.0,6.7,"The Final Table is a global culinary competition show featuring the world's most talented chefs fighting for a spot at the elite, Final Table made up of the greatest chefs from around the globe. The series features 12 teams of two chefs from around the world cooking the national dishes of Mexico, Spain, England, Brazil, France, Japan, the U.S., India and Italy. Each episode focuses on a different country and its cuisine, with celebrity ambassadors, food critics and the country's greatest chef eliminating teams until the finale. In that last episode, only one of our competing chefs will win a place at the Final Table.",Ended
Dawn of the Croods,2015,2017,English,13.0,5.9,"The world's first family is back and funnier than ever in this all-new original family sitcom! Eep, Grug, Thunk, Ugga, Sandy and Gran are taking the prehistoric Croodacious era by storm as they deal with modern-day problems for the first time ever in history. School, slumber parties and elections are some of the hilarious wonders of modern life The Croods are discovering!",Ended
Kidô Senshi Gundam Unicorn,,,,,,,
MeatEater,2012,,English,30.0,,"In MeatEater, Rinella will deconstruct and master any hunting technique; track and pursue prey; and procure his own food, which he will turn into a mouth-watering fireside meal. Far from trophy or sport hunting, Rinella stays true to our ancestral tradition of sustenance hunting. Nothing he harvests goes to waste. Whether tracking black tail deer in the remote Alaskan Wilderness, or rooting out javelina in Texas, Rinella will defer to his back-country roots, challenging himself at every corner while providing nail biting adventure along the way.",Running
Love and Redemption,2020,2020,Chinese,45.0,,"According to legends, the god of war saved the heavens in a deadly battle against the demon a thousand years ago. Both fell from the heavens and disappeared from the world. Chu Xuan Ji was born to the world lacking in the six senses which makes her rather clueless and inept. She befriends Yu Xi Feng, the outstanding head disciple of Lize Palace who falls for her, thus beginning a xianxia romance that is entangled with the conspiracies from the past.",Ended
Spellbinder,1995,1997,English,25.0,6.8,Paul Reynolds finds himself transported to a parallel world after a school prank with his best friend Alex goes wrong. He finds himself trapped in the land of the Spellbinders and finds a reluctant village girl named Riana to help him. Together they must all work together to defeat the power hungry Ashka.,Ended
Blown Away,2019,,English,29.0,7.3,"Blown Away sees a group of talented and creative artisans from all over North America compete over the course of the series in the highly skilled art of glass blowing. In each episode the glass blowers create beautiful works of art, which are assessed by a panel of expert judges. One artisan is eliminated each week until a winner is announced in the final episode.",To Be Determined
Borderline,2024,,English,47.0,7.0,"Forced to collaborate on a serious crime, contrasting detectives Philip Boyd and Aoife Regan, with clashing personalities and backgrounds, overcome initial friction to form an unlikely but formidable crime-fighting partnership.",To Be Determined
Transformers: Cyberverse,2018,2021,English,11.0,6.4,"Bumblebee is on a critical mission where lives are at stake! Only, he can't remember what it is? As Windblade helps repair his damaged memory chips, the Decepticons are hot on their heels, and time is running out. Join this epic Transformers adventure told through the eyes of Cybertron's coolest hero!",Ended
Sneakerheads,2020,2020,English,24.0,,Family man Devin falls back into his sneaker obsession after his pal Bobby talks him into a wheeling-dealing scheme to score a mythical pair of kicks.,Ended
The World's Most Extraordinary Homes,2017,2018,English,60.0,,"Award-winning architect Piers Taylor and actress and property enthusiast Caroline Quentin (who previously presented Restoration Home for BBC Two) explore a range of incredible architect-designed houses in extreme locations around the world.Whether built into the side of a cliff, nestled in a forest, perched at the top of a mountain or under the earth, these are homes that connect to their environment in a spectacular way.Each episode of the 4x60' series is themed according to the houses' environments: Coast, Forest, Mountain and Underground, with Caroline and Piers travelling to locations ranging from North America, Australasia and Europe.To explore how these dramatic designs function as both works of architecture and as real houses, they stay overnight, eat meals and spend time in the homes. Piers and Caroline are a new and entertaining pairing of a property expert and an architect, both bringing their own expertise, humour and experience as they meet some of the owners and architects of these incredible buildings.",Ended
the goop lab,2020,2020,English,33.0,,"Leading with curiosity and keeping it real, Gwyneth Paltrow and her goop team look at psychedelics, energy work and other challenging wellness topics.",Ended
Kakegurui,2017,2019,Japanese,28.0,8.0,"At Hyakkaō Private Academy, the sons and daughters of the wealthiest of the wealthy engage in a unique curriculum geared to teach them to how to read their opponents. Specifically, students have a rigorous curriculum of gambling where the winners live like kings, and the losers are put through the wringer. When Yumeko Jabami enrolls, she's decides to teach the students what a real high-roller looks like.",Ended
Thomas Jefferson,2025,,English,62.0,6.6,"Thomas Jefferson is widely considered the patron saint of America's most sacred beliefs. He is the central figure in the story of American democracy and when he penned the Declaration of Independence nearly 250 years ago, he personally inspired a revolution of self-governance around the world. More so than John Adams, Alexander Hamilton or even Abraham Lincoln, it was Jefferson's ""revolution of ideas"" that laid the groundwork for America's founding and success. As our 3rd president, Jefferson doubled the size of the country and inspired a western expansion that turned a fledgling nation into an empire. Jefferson's image as an American deity would be almost perfect… were it not for slavery. Although his immeasurable contributions to American freedom and growth have been well documented, the complexities of his relationship with slavery, which include a decades-long sexual relationship with an enslaved woman and the children who came from it, have remained largely misrepresented in the popular American narrative. THOMAS JEFFERSON is a 6×60 premium documentary series and the first of its kind to take an objective and comprehensive approach to the truly remarkable and surprising story of an American icon.",Running
Zig and Zag,2016,2016,English,11.0,,"Zig and Zag are alien twin teen brothers from the Planet Zog. One day they were out flying around in their spaceship when they get sucked into a random black hole (it happens!) and end up crash landing in the suburbs on a strange green and blue planet called Earth. With their craft beyond repair, the brothers decide the only thing to do is plant a porch on the front of their shiny metal spaceship and called it ‘home'.Join our inseparable extra-terrestrial brothers on a series of fun adventures creating all manner of mayhem as they make the most of what this cool new planet has to offer. With death-defying stunts, crazy inventions and banana and mackerel smoothies!Life in the suburbs will never be the same for friend Nellie from the corner shop and neighbours Mrs Eyebrows and her invisible cat Mr President, Mr and Mrs Jones and their creepy staring twins Brie and Stilton, the uber-competitive neighbours Abs and Pek Von Pumpiniron, and not forgetting the Secret Agents: Agent A Gent and Agent Honey, tasked with keeping an eye on the alien visitors.",Ended
